date,temp_mean,temp_min,temp_max,heating_degree_days,cooling_degree_days
2017-09-10,15.447619047619046,9.3,21.9,2.552380952380954,0.0
2017-09-17,13.326190476190478,5.8,20.0,4.673809523809522,0.0
2017-09-24,12.504761904761907,6.6,17.2,5.4952380952380935,0.0
2017-10-01,14.515476190476189,10.3,19.9,3.484523809523811,0.0
2017-10-08,11.446428571428571,6.2,16.0,6.553571428571429,0.0
2017-10-15,13.058333333333334,4.8,20.7,4.941666666666666,0.0
2017-10-22,13.326190476190478,8.2,21.3,4.673809523809522,0.0
2017-10-29,10.861309523809524,5.5,17.0,7.138690476190476,0.0
2017-11-05,8.34702380952381,2.9,12.9,9.65297619047619,0.0
2017-11-12,6.008928571428571,1.8,9.5,11.991071428571429,0.0
2017-11-19,5.167857142857143,-0.5,9.3,12.832142857142857,0.0
2017-11-26,5.755952380952381,0.2,13.2,12.244047619047619,0.0
2017-12-03,2.0428571428571427,-1.9,6.7,15.957142857142857,0.0
2017-12-10,3.6958333333333333,-1.0,7.1,14.304166666666667,0.0
2017-12-17,2.149404761904762,-1.4,6.7,15.850595238095238,0.0
2017-12-24,3.8904761904761904,-3.5,9.0,14.10952380952381,0.0
2017-12-31,4.1797619047619055,-1.9,11.2,13.820238095238095,0.0
2018-01-07,4.819047619047619,-3.2,11.9,13.18095238095238,0.0
2018-01-14,0.1583333333333333,-4.7,5.3,17.841666666666665,0.0
2018-01-21,0.7297619047619047,-4.0,5.6,17.270238095238096,0.0
2018-01-28,5.2214285714285715,-3.8,10.4,12.778571428571428,0.0
2018-02-04,3.2369047619047615,-4.8,10.0,14.76309523809524,0.0
2018-02-11,-2.2910714285714286,-7.5,4.3,20.291071428571428,0.0
2018-02-18,0.39821428571428574,-5.3,6.4,17.601785714285715,0.0
2018-02-25,-1.8178571428571426,-8.2,4.2,19.817857142857143,0.0
2018-03-04,-7.089285714285714,-12.4,3.5,25.089285714285715,0.0
2018-03-11,3.3797619047619043,-3.2,15.7,14.620238095238095,0.0
2018-03-18,2.1226190476190476,-6.0,10.9,15.877380952380953,0.0
2018-03-25,1.2845238095238096,-6.1,9.9,16.715476190476192,0.0
2018-04-01,3.2976190476190474,-2.0,9.6,14.702380952380953,0.0
2018-04-08,9.555952380952382,-1.4,19.4,8.444047619047618,0.0
2018-04-15,14.429761904761904,5.3,22.1,3.5702380952380963,0.0
2018-04-22,14.77857142857143,6.2,25.5,3.2214285714285698,0.0
2018-04-29,13.138095238095238,4.9,22.3,4.861904761904762,0.0
2018-05-06,12.94702380952381,4.4,22.8,5.0529761904761905,0.0
2018-05-13,18.177380952380954,8.9,25.7,0.0,0.0
2018-05-20,15.955357142857142,8.0,23.6,2.0446428571428577,0.0
2018-05-27,19.447619047619046,10.5,27.0,0.0,0.0
2018-06-03,23.746428571428574,17.7,31.1,0.0,0.0
2018-06-10,21.107142857142858,12.3,30.4,0.0,0.0
2018-06-17,18.683928571428574,12.7,25.8,0.0,0.0
2018-06-24,17.373809523809523,10.2,26.7,0.6261904761904766,0.0
2018-07-01,18.02202380952381,10.0,28.4,0.0,0.0
2018-07-08,20.291666666666668,8.7,30.1,0.0,0.0
2018-07-15,18.15357142857143,11.7,25.5,0.0,0.0
2018-07-22,20.99047619047619,12.6,27.3,0.0,0.0
2018-07-29,24.583928571428572,17.3,32.2,0.0,0.0
2018-08-05,26.36964285714286,18.2,34.8,0.0,0.0
2018-08-12,24.11845238095238,12.7,36.6,0.0,0.0
2018-08-19,22.11845238095238,14.4,31.4,0.0,0.0
2018-08-26,19.81845238095238,10.7,33.4,0.0,0.0
2018-09-02,17.767261904761906,9.4,26.4,0.2327380952380942,0.0
2018-09-09,19.27261904761905,11.0,27.7,0.0,0.0
2018-09-16,17.711309523809526,10.0,26.7,0.2886904761904745,0.0
2018-09-23,18.311904761904763,9.0,30.0,0.0,0.0
2018-09-30,11.404166666666667,4.8,21.9,6.595833333333333,0.0
2018-10-07,11.30952380952381,3.8,21.9,6.69047619047619,0.0
2018-10-14,14.545833333333333,2.9,24.0,3.4541666666666675,0.0
2018-10-21,11.88452380952381,3.5,21.5,6.1154761904761905,0.0
2018-10-28,8.842261904761905,3.1,12.3,9.157738095238095,0.0
2018-11-04,8.76845238095238,4.2,19.9,9.23154761904762,0.0
2018-11-11,9.694642857142858,3.9,16.4,8.305357142857142,0.0
2018-11-18,6.531547619047619,-4.1,14.3,11.468452380952382,0.0
2018-11-25,2.2101190476190475,-1.9,5.9,15.789880952380953,0.0
2018-12-02,1.5732142857142857,-3.5,9.3,16.426785714285714,0.0
2018-12-09,6.5625,-0.5,12.4,11.4375,0.0
2018-12-16,1.1047619047619048,-2.5,5.4,16.895238095238096,0.0
2018-12-23,3.697619047619048,-2.3,10.2,14.302380952380952,0.0
2018-12-30,5.0130952380952385,0.1,7.6,12.98690476190476,0.0
2019-01-06,2.9333333333333336,-3.1,7.6,15.066666666666666,0.0
2019-01-13,3.1845238095238093,-0.9,7.5,14.81547619047619,0.0
2019-01-20,1.6220238095238095,-6.1,6.9,16.37797619047619,0.0
2019-01-27,-2.3166666666666664,-7.2,5.1,20.316666666666666,0.0
2019-02-03,0.3238095238095238,-3.8,4.8,17.676190476190477,0.0
2019-02-10,3.7773809523809527,-2.0,9.9,14.222619047619048,0.0
2019-02-17,4.608928571428571,-2.1,13.9,13.39107142857143,0.0
2019-02-24,4.1970238095238095,-4.8,13.0,13.80297619047619,0.0
2019-03-03,5.943452380952381,-1.6,14.2,12.056547619047619,0.0
2019-03-10,7.32797619047619,1.3,16.1,10.672023809523811,0.0
2019-03-17,6.094642857142857,1.1,12.5,11.905357142857143,0.0
2019-03-24,7.292857142857143,-2.0,16.8,10.707142857142857,0.0
2019-03-31,7.386309523809524,0.5,16.9,10.613690476190476,0.0
2019-04-07,10.882142857142858,-1.5,20.0,7.117857142857142,0.0
2019-04-14,5.508928571428571,0.6,18.2,12.491071428571429,0.0
2019-04-21,11.236904761904762,1.2,20.9,6.763095238095238,0.0
2019-04-28,15.064880952380953,7.1,25.2,2.9351190476190467,0.0
2019-05-05,9.343452380952382,0.2,17.3,8.656547619047618,0.0
2019-05-12,10.54642857142857,1.7,18.0,7.453571428571429,0.0
2019-05-19,12.167261904761904,3.2,23.7,5.832738095238096,0.0
2019-05-26,15.835714285714285,8.3,24.6,2.1642857142857146,0.0
2019-06-02,17.90297619047619,6.7,30.5,0.09702380952381162,0.0
2019-06-09,22.949404761904763,12.3,33.6,0.0,0.0
2019-06-16,22.527380952380952,14.7,33.1,0.0,0.0
2019-06-23,22.27797619047619,14.3,30.9,0.0,0.0
2019-06-30,24.574404761904763,13.3,37.4,0.0,0.0
2019-07-07,17.848809523809525,10.5,27.6,0.1511904761904752,0.0
2019-07-14,17.29583333333333,10.8,24.4,0.7041666666666693,0.0
2019-07-21,19.941071428571426,12.0,29.8,0.0,0.0
2019-07-28,24.68214285714286,15.8,34.1,0.0,0.0
2019-08-04,21.350595238095238,13.7,33.5,0.0,0.0
2019-08-11,21.411309523809525,13.8,27.4,0.0,0.0
2019-08-18,18.93452380952381,11.4,26.8,0.0,0.0
2019-08-25,20.875,10.9,30.0,0.0,0.0
2019-09-01,24.938690476190477,17.6,32.5,0.0,0.0
2019-09-08,16.64166666666667,8.9,27.0,1.3583333333333307,0.0
2019-09-15,15.748809523809525,8.8,23.0,2.251190476190475,0.0
2019-09-22,12.888095238095238,6.5,24.0,5.111904761904762,0.0
2019-09-29,15.182738095238093,9.3,22.8,2.8172619047619065,0.0
2019-10-06,10.27202380952381,2.6,17.0,7.7279761904761894,0.0
2019-10-13,12.380357142857143,0.1,23.2,5.619642857142857,0.0
2019-10-20,14.181547619047619,9.2,21.2,3.8184523809523814,0.0
2019-10-27,13.145238095238096,6.2,18.1,4.854761904761904,0.0
2019-11-03,5.920833333333333,-3.0,14.9,12.079166666666666,0.0
2019-11-10,7.272619047619047,0.3,11.9,10.727380952380953,0.0
2019-11-17,4.855952380952381,-1.0,10.0,13.144047619047619,0.0
2019-11-24,7.0303571428571425,3.2,12.4,10.969642857142858,0.0
2019-12-01,4.8,-1.9,11.5,13.2,0.0
2019-12-08,3.9809523809523806,-1.5,10.6,14.019047619047619,0.0
2019-12-15,3.463095238095238,-0.7,8.9,14.536904761904761,0.0
2019-12-22,6.148809523809524,0.8,14.6,11.851190476190476,0.0
2019-12-29,3.2249999999999996,-3.7,7.6,14.775,0.0
2020-01-05,2.6636904761904763,-3.8,7.3,15.336309523809524,0.0
2020-01-12,5.263690476190476,-1.3,10.6,12.736309523809524,0.0
2020-01-19,6.023214285714285,1.3,12.1,11.976785714285715,0.0
2020-01-26,1.5232142857142859,-2.4,5.8,16.476785714285715,0.0
2020-02-02,6.536309523809523,1.1,11.5,11.463690476190477,0.0
2020-02-09,5.335714285714285,0.6,11.9,12.664285714285715,0.0
2020-02-16,5.7625,0.7,15.9,12.2375,0.0
2020-02-23,6.454166666666667,0.5,12.1,11.545833333333334,0.0
2020-03-01,4.9505952380952385,-0.2,11.8,13.04940476190476,0.0
2020-03-08,4.801785714285715,-1.1,10.0,13.198214285714286,0.0
2020-03-15,6.480952380952381,-2.5,12.4,11.519047619047619,0.0
2020-03-22,6.780952380952381,-2.9,15.7,11.219047619047618,0.0
2020-03-29,3.5113095238095235,-4.7,14.7,14.488690476190477,0.0
2020-04-05,4.568452380952381,-4.0,15.0,13.431547619047619,0.0
2020-04-12,10.942857142857143,0.5,21.8,7.057142857142857,0.0
2020-04-19,8.963690476190477,0.4,16.7,9.036309523809523,0.0
2020-04-26,11.9375,3.2,21.6,6.0625,0.0
2020-05-03,12.786904761904761,4.1,22.6,5.213095238095239,0.0
2020-05-10,12.141666666666666,3.4,23.6,5.858333333333334,0.0
2020-05-17,9.654166666666667,0.9,17.6,8.345833333333333,0.0
2020-05-24,14.894642857142859,6.9,22.5,3.105357142857141,0.0
2020-05-31,13.957738095238096,5.9,21.4,4.042261904761904,0.0
2020-06-07,16.491666666666667,8.8,26.4,1.5083333333333329,0.0
2020-06-14,18.843452380952378,8.9,28.1,0.0,0.0
2020-06-21,19.35654761904762,12.4,27.7,0.0,0.0
2020-06-28,21.571428571428573,11.6,30.3,0.0,0.0
2020-07-05,20.067261904761907,14.9,26.8,0.0,0.0
